Date,First dose injected,Second dose injected,7-day average
18/08/2021,321787,76244,615831
19/08/2021,1430590,73703,677075
20/08/2021,119987,70694,600329
21/08/2021,286654,84182,565738
22/08/2021,255276,43100,535757
23/08/2021,187120,87965,490469
24/08/2021,315522,116938,495680
25/08/2021,330630,100294,500379
26/08/2021,202744,95468,328082
27/08/2021,210758,93418,344296
28/08/2021,158855,102774,328695
29/08/2021,168836,93202,323503
30/08/2021,150074,94779,319185
31/08/2021,123038,107377,290321
01/09/2021,147084,154990,271914
02/09/2021,205652,77569,269772
03/09/2021,121716,88403,256336
04/09/2021,185361,151020,267014
05/09/2021,426867,140238,310595
06/09/2021,429314,105623,352036
07/09/2021,447660,324277,429396
08/09/2021,357574,421099,497482
09/09/2021,891008,277804,623995
10/09/2021,902520,273178,761935
11/09/2021,700498,315561,859032
12/09/2021,797214,269734,930438
13/09/2021,726258,295344,999961
14/09/2021,653384,213284,1013494
15/09/2021,561373,154177,1004477
16/09/2021,434461,195862,927550
17/09/2021,290448,162369,824281
18/09/2021,284641,170676,744175
19/09/2021,310285,122290,653550
20/09/2021,358847,143646,579392
21/09/2021,470137,146453,543666
22/09/2021,335648,127949,507673
23/09/2021,392600,201303,502470
24/09/2021,490288,296133,550128
25/09/2021,397100,390738,597631
26/09/2021,525335,340275,659493
27/09/2021,569112,310506,713368
28/09/2021,712708,384336,782004
29/09/2021,469128,514711,856325
30/09/2021,384795,322337,872500
01/10/2021,452668,307975,868818
02/10/2021,623616,355969,896210
03/10/2021,467645,391537,895292
04/10/2021,692643,739988,974294
05/10/2021,540797,607760,981653
06/10/2021,501917,584721,996338
07/10/2021,648135,850422,1109399
08/10/2021,469694,585808,1151522
09/10/2021,554194,729905,1195024
10/10/2021,271054,608895,1197990
11/10/2021,460429,559610,1139049
12/10/2021,686812,352562,1123451
13/10/2021,696455,308600,1111796
14/10/2021,921430,389610,1085008
15/10/2021,923669,430140,1127624
16/10/2021,1026742,227701,1123387
17/10/2021,1010058,302592,1185201
18/10/2021,1176104,346494,1256996
19/10/2021,1403259,587279,1392876
20/10/2021,1357394,371547,1496288
21/10/2021,744159,696407,1514792
22/10/2021,1083134,577447,1558617
23/10/2021,622319,314420,1513230
24/10/2021,701590,419361,1485845
25/10/2021,561089,359309,1399816
26/10/2021,609380,407899,1260779
27/10/2021,778533,392434,1181069
28/10/2021,975655,736780,1219907
29/10/2021,1038022,550170,1209566
30/10/2021,508229,419427,1208268
31/10/2021,287461,266014,1127200
01/11/2021,757227,520338,1178224
02/11/2021,449082,523708,1171869
03/11/2021,338903,435151,1115167
04/11/2021,477468,887681,1065554
05/11/2021,845743,1179858,1128041
06/11/2021,583408,631329,1169053
07/11/2021,429789,557832,1231074
08/11/2021,565809,970639,1268057
09/11/2021,795034,851906,1364364
10/11/2021,729762,917178,1489062
11/11/2021,197615,802433,1436905
12/11/2021,584952,882764,1357207
13/11/2021,243387,850436,1339934
14/11/2021,174350,674800,1320152
15/11/2021,277124,812093,1256262
16/11/2021,385293,712246,1177776
17/11/2021,471971,992481,1151706
18/11/2021,475620,848822,1198048
